filename,channels,samples,sample_rate,duration_seconds,data_shape
G_S0141_M3_E3_R2_N1_raw_ref.mat,6,92000,200.0,460.0,"(6, 92000)"
G_S0151_M1_E2_R8_N1_raw_ref.mat,6,24000,200.0,120.0,"(6, 24000)"
G_S0151_M1_E3_R2_N2_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
G_S0151_M1_E3_R3_N1_raw_ref.mat,6,80000,200.0,400.0,"(6, 80000)"
G_S0151_M1_E3_R5_N2_raw_ref.mat,6,60000,200.0,300.0,"(6, 60000)"
G_S0151_M1_E3_R6_N1_raw_ref.mat,6,44000,200.0,220.0,"(6, 44000)"
G_S0151_M1_E3_R7_N1_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
G_S0151_M1_E4_R4_N1_raw_ref.mat,6,72000,200.0,360.0,"(6, 72000)"
G_S0151_M1_E5_R1_N2_raw_ref.mat,6,38000,200.0,190.0,"(6, 38000)"
G_S0152_M2_E3_R1_N1_raw_ref.mat,6,54000,200.0,270.0,"(6, 54000)"
G_S0152_M2_E3_R2_N1_raw_ref.mat,6,52000,200.0,260.0,"(6, 52000)"
G_S0152_M2_E4_R3_N1_raw_ref.mat,6,78000,200.0,390.0,"(6, 78000)"
G_S0153_M3_E2_R1_N2_raw_ref.mat,6,64000,200.0,320.0,"(6, 64000)"
G_S0153_M3_E3_R11_N1_raw_ref.mat,6,16000,200.0,80.0,"(6, 16000)"
G_S0153_M3_E3_R2_N2_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
G_S0153_M3_E3_R7_N2_raw_ref.mat,6,40000,200.0,200.0,"(6, 40000)"
G_S0153_M3_E4_R10_N2_raw_ref.mat,6,22000,200.0,110.0,"(6, 22000)"
G_S0153_M3_E4_R3_N2_raw_ref.mat,6,44000,200.0,220.0,"(6, 44000)"
G_S0153_M3_E4_R4_W_raw_ref.mat,6,64000,200.0,320.0,"(6, 64000)"
G_S0153_M3_E4_R5_N1_raw_ref.mat,6,80000,200.0,400.0,"(6, 80000)"
G_S0153_M3_E4_R6_N2_raw_ref.mat,6,16000,200.0,80.0,"(6, 16000)"
G_S0153_M3_E4_R8_N2_raw_ref.mat,6,46000,200.0,230.0,"(6, 46000)"
G_S0153_M3_E4_R9_W_raw_ref.mat,6,50000,200.0,250.0,"(6, 50000)"
G_S0161_M2_E3_R2_N1_raw_ref.mat,6,18000,200.0,90.0,"(6, 18000)"
G_S0161_M2_E3_R3_N1_raw_ref.mat,6,38000,200.0,190.0,"(6, 38000)"
G_S0161_M2_E4_R1_N1_raw_ref.mat,6,86000,200.0,430.0,"(6, 86000)"
G_S0162_M3_E3_R2_N2_raw_ref.mat,6,30000,200.0,150.0,"(6, 30000)"
G_S0162_M3_E3_R3_W_raw_ref.mat,6,66000,200.0,330.0,"(6, 66000)"
G_S0162_M3_E3_R4_N1_raw_ref.mat,6,38000,200.0,190.0,"(6, 38000)"
G_S0162_M3_E3_R5_N1_raw_ref.mat,6,54000,200.0,270.0,"(6, 54000)"
G_S0162_M3_E3_R6_W_raw_ref.mat,6,30000,200.0,150.0,"(6, 30000)"
G_S0162_M3_E3_R7_W_raw_ref.mat,6,36000,200.0,180.0,"(6, 36000)"
